_id,name
61a89360eee4ab8687c75450,Ralph Lauren Corporation
61a89360eee4ab8687c7540f,"Sonic Automotive, Inc."
61a89360eee4ab8687c7535f,"US Foods, Inc."
61a89360eee4ab8687c753ac,Viacom Inc.
61a89360eee4ab8687c753c8,Visa Inc.
61a89360eee4ab8687c753d3,"Ameriprise Financial, Inc."
61a89360eee4ab8687c75374,Amgen Inc.
61a89360eee4ab8687c7535e,Baker Hughes Incorporated
61a89360eee4ab8687c753f2,"BlackRock, Inc."
61a89360eee4ab8687c75478,Calpine Corporation
61a89360eee4ab8687c75469,Celanese Corporation
61a89360eee4ab8687c753c0,DaVita HealthCare Partners Inc.
61a89360eee4ab8687c7530a,Dow Chemical
61a89360eee4ab8687c7542b,"Franklin Resources, Inc."
61a89360eee4ab8687c7540b,GameStop Corp.
61a89360eee4ab8687c75369,Icahn Enterprises L.P.
61a89360eee4ab8687c7530f,Intel Corporation
61a89360eee4ab8687c75492,Laboratory Corporation of America Holdings
61a89360eee4ab8687c7546e,"Live Nation Entertainment, Inc."
61a89360eee4ab8687c75304,MetLife
61a89360eee4ab8687c75460,"O’Reilly Automotive, Inc."
61a89360eee4ab8687c75391,PG&E Corporation
61a89360eee4ab8687c75398,"PPG Industries, Inc."
61a89360eee4ab8687c75498,"PulteGroup, Inc."
61a89360eee4ab8687c75466,"Quanta Services, Inc."
61a89360eee4ab8687c754b6,Realogy Holdings Corp.
61a89360eee4ab8687c75350,Rite Aid Corporation
61a89360eee4ab8687c75325,Tesoro Corporation
61a89360eee4ab8687c75496,"The Jones Financial Companies,L.L.L.P."
61a89360eee4ab8687c753ea,Unum Group
61a89360eee4ab8687c752f7,Wells Fargo
61a89360eee4ab8687c75395,Western Digital Corporation
61a89360eee4ab8687c7549e,"Wynn Resorts, Limited"
61a89360eee4ab8687c75357,Aflac Incorporated
61a89360eee4ab8687c75426,AECOM Technology Corporation
61a89360eee4ab8687c75362,Abbott Laboratories
61a89360eee4ab8687c753e0,AGCO Corporation
61a89360eee4ab8687c75372,AbbVie Inc.
61a89360eee4ab8687c752f6,AmerisourceBergen
61a89360eee4ab8687c753b6,"C. H. Robinson Worldwide, Inc."
61a89360eee4ab8687c7547d,"CC Media Holdings, Inc."
61a89360eee4ab8687c7548f,"CH2M HILL Companies, Ltd."
61a89360eee4ab8687c75464,CMS Energy Corporation
61a89360eee4ab8687c75402,Discover Financial Services
61a89360eee4ab8687c754a6,"Discovery Communications, Inc."
61a89360eee4ab8687c75310,"Energy Transfer Equity, L.P."
61a89360eee4ab8687c7544a,"FMC Technologies, Inc."
61a89360eee4ab8687c7533d,General Dynamics Corporation
61a89360eee4ab8687c752fb,Home Depot
61a89360eee4ab8687c753fa,KKR & Co. L.P.
61a89360eee4ab8687c75376,"Kraft Foods Group, Inc."
61a89360eee4ab8687c753dd,Navistar International Corporation
61a89360eee4ab8687c75370,Nucor Corporation
61a89360eee4ab8687c753a3,Omnicom Group Inc.
61a89360eee4ab8687c752e0,Phillips 66
61a89360eee4ab8687c75320,"Plains GP Holdings, L.P."
61a89360eee4ab8687c75404,"Principal Financial Group, Inc."
61a89360eee4ab8687c75423,Reynolds American Inc.
61a89360eee4ab8687c7547b,SLM Corporation
61a89360eee4ab8687c7531d,Safeway Inc.
61a89360eee4ab8687c7548a,Sanmina
61a89360eee4ab8687c753e5,Sempra Energy
61a89360eee4ab8687c754a7,Spectra Energy Corp
61a89360eee4ab8687c75482,"Starwood Hotels & Resorts Worldwide, Inc."
61a89360eee4ab8687c7540c,Stryker Corporation
61a89360eee4ab8687c75454,Symantec Corporation
61a89360eee4ab8687c75319,Sysco Corporation
61a89360eee4ab8687c7537f,TRW Automotive Holdings Corp.
61a89360eee4ab8687c75448,The Hershey Company
61a89360eee4ab8687c75346,"The TJX Companies, Inc."
61a89360eee4ab8687c754c1,"American Financial Group, Inc."
61a89360eee4ab8687c754bf,"Buckeye Partners, L.P."
61a89360eee4ab8687c75497,Cliffs Natural Resources Inc.
61a89360eee4ab8687c75309,ConocoPhillips
61a89360eee4ab8687c7535a,EMC Corporation
61a89360eee4ab8687c753af,Ecolab Inc.
61a89360eee4ab8687c7546a,"Foot Locker, Inc."
61a89360eee4ab8687c75308,Google
61a89360eee4ab8687c754b7,"Host Hotels & Resorts, Inc."
61a89360eee4ab8687c7531e,"Johnson Controls, Inc."
61a89360eee4ab8687c754c7,Joy Global Inc.
61a89360eee4ab8687c75494,Leidos Holdings Inc.
61a89360eee4ab8687c75489,Lennar Corporation
61a89360eee4ab8687c753bc,"Marsh & McLennan Companies, Inc."
61a89360eee4ab8687c7541d,Masco Corporation
61a89360eee4ab8687c7548e,Newell Rubbermaid Inc.
61a89360eee4ab8687c753d1,Norfolk Southern Corporation
61a89360eee4ab8687c75435,Oshkosh Corporation
61a89360eee4ab8687c753c4,PPL Corporation
61a89360eee4ab8687c753b3,Parker-Hannifin Corporation
61a89360eee4ab8687c7539c,"Penske Automotive Group, Inc."
61a89360eee4ab8687c753b0,"Smithfield Foods, Inc."
61a89360eee4ab8687c753d9,"Stanley Black & Decker, Inc."
61a89360eee4ab8687c75328,"United Continental Holdings, Inc."
61a89360eee4ab8687c75373,Whirlpool Corporation
61a89360eee4ab8687c753b2,"Yum! Brands, Inc."
61a89360eee4ab8687c7534a,American Airlines Group Inc.
61a89360eee4ab8687c7547e,Anixter International Inc.
61a89360eee4ab8687c753dc,Bed Bath & Beyond Inc.
61a89360eee4ab8687c75451,Biogen Idec Inc.
61a89360eee4ab8687c75445,"CBRE Group, Inc."
61a89360eee4ab8687c75425,"Charter Communications, Inc."
61a89360eee4ab8687c7533c,DIRECTV
61a89360eee4ab8687c7532b,"Delta Air Lines, Inc."
61a89360eee4ab8687c75430,"Dollar Tree, Inc."
61a89360eee4ab8687c75353,Emerson Electric Co.
61a89360eee4ab8687c752e2,Ford Motor
61a89360eee4ab8687c754bb,"Gannett Co., Inc."
61a89360eee4ab8687c753d4,"Gilead Sciences, Inc."
61a89360eee4ab8687c7536b,HollyFrontier Corporation
61a89360eee4ab8687c7531f,Ingram Micro Inc.
61a89360eee4ab8687c752f1,International Business Machines
61a89360eee4ab8687c75493,"Kindred Healthcare, Inc."
61a89360eee4ab8687c754ca,"Lorillard, Inc."
61a89360eee4ab8687c75396,Marathon Oil Corporation
61a89360eee4ab8687c753a2,"ONEOK, Inc."
61a89360eee4ab8687c754b9,"Simon Property Group, Inc."
61a89360eee4ab8687c75359,"Staples, Inc."
61a89360eee4ab8687c75491,Susser Holdings Corporation
61a89360eee4ab8687c7538f,The Bank of New York Mellon Corporation
61a89360eee4ab8687c754ce,"United Rentals, Inc."
61a89360eee4ab8687c754c2,United Stationers Inc.
61a89360eee4ab8687c752db,Wal-Mart Stores
61a89360eee4ab8687c7541a,Weyerhaeuser Company
61a89360eee4ab8687c752fd,Amazon.com
61a89360eee4ab8687c752f5,Archer Daniels Midland
61a89360eee4ab8687c7540a,"Assurant, Inc."
61a89360eee4ab8687c7539a,"Community Health Systems, Inc."
61a89360eee4ab8687c7537e,Dollar General Corporation
61a89360eee4ab8687c753ae,"Dominion Resources, Inc."
61a89360eee4ab8687c75312,Enterprise Products Partners L.P.
61a89360eee4ab8687c752e3,General Electric
61a89360eee4ab8687c75379,"General Mills, Inc."
61a89360eee4ab8687c753a8,"Kinder Morgan, Inc."
61a89360eee4ab8687c753b7,"L-3 Communications Holdings, Inc."
61a89360eee4ab8687c753a1,"Land O’Lakes, Inc."
61a89360eee4ab8687c75477,"Level 3 Communications, Inc."
61a89360eee4ab8687c753d0,Liberty Interactive Corporation
61a89360eee4ab8687c75412,"Motorola Solutions, Inc."
61a89360eee4ab8687c754c9,"NII Holdings, Inc."
61a89360eee4ab8687c75441,Northeast Utilities
61a89360eee4ab8687c7532c,Oracle Corporation
61a89360eee4ab8687c75428,Pacific Life
61a89360eee4ab8687c75447,Peabody Energy Corporation
61a89360eee4ab8687c75499,Regions Financial Corporation
61a89360eee4ab8687c7549f,"The Andersons, Inc."
61a89360eee4ab8687c7534c,"The Travelers Companies, Inc."
61a89360eee4ab8687c75444,UGI Corporation
61a89360eee4ab8687c75485,"United Natural Foods, Inc."
61a89360eee4ab8687c7530c,United Parcel Service
61a89360eee4ab8687c752e4,Valero Energy
